ds,yhat,yhat_lower,yhat_upper
2025-11-11 00:00:00,9.49366065719841,3.9639562154910193,15.011097790470412
2025-11-11 01:00:00,9.199568243522222,3.21832789835248,14.370188943837693
2025-11-11 02:00:00,8.925355810745286,3.404247837174943,14.751928349187951
2025-11-11 03:00:00,8.673376360152648,3.2347415012658276,14.433393832326907
2025-11-11 04:00:00,8.48600800083487,2.596705915894494,14.052433202399476
2025-11-11 05:00:00,8.452046517003785,2.7697745363679194,14.633398615709739
2025-11-11 06:00:00,8.67771725041239,2.8941123194157257,14.569291978213172
2025-11-11 07:00:00,9.22741005092129,3.7831843065301474,15.179441919511806
2025-11-11 08:00:00,10.070817902915891,4.235199571941525,16.105377301431073
2025-11-11 09:00:00,11.07780849977779,5.6034937721966624,17.009048829958704
2025-11-11 10:00:00,12.070536488849601,6.293801889721405,17.53614871906768
2025-11-11 11:00:00,12.898819095616078,6.8048062884192,18.712477417849566
2025-11-11 12:00:00,13.487544007294755,7.591905229439391,19.660873273261856
2025-11-11 13:00:00,13.829593347282145,7.817190790341863,19.586485734499778
2025-11-11 14:00:00,13.942660564434943,8.224755129641258,19.599090156153547
2025-11-11 15:00:00,13.833886966904595,7.972365306104222,19.736377592811127
2025-11-11 16:00:00,13.501611960739924,7.567205100724754,19.54525180549633
2025-11-11 17:00:00,12.964985098633955,6.792945720558896,18.54966764825453
2025-11-11 18:00:00,12.286445482302593,6.4579558379750335,17.893279817937664
2025-11-11 19:00:00,11.561292618149135,5.849555248791405,17.076843510211216
2025-11-11 20:00:00,10.880838477947623,5.452558278494344,16.803774750724916
2025-11-11 21:00:00,10.298761330639463,4.413894543386166,16.049834858629154
2025-11-11 22:00:00,9.823960021791624,4.110347055949829,15.774683892697086
2025-11-11 23:00:00,9.437342108232809,3.6270534044112486,15.078042120204724
2025-11-12 00:00:00,9.112170261876994,3.4678443714181717,14.539978958590304
2025-11-12 01:00:00,8.823912491019694,3.395118391152663,15.020873902727372
2025-11-12 02:00:00,8.554972074027905,3.074342031118944,14.703861935964113
2025-11-12 03:00:00,8.307586434396157,2.071103072140513,14.115930999048455
2025-11-12 04:00:00,8.12403716661752,2.5059312742303392,14.056904342611407
2025-11-12 05:00:00,8.09304380974195,2.312498965044704,14.01235388108255
2025-11-12 06:00:00,8.320776626046808,2.063930615915468,13.947468050498394
2025-11-12 07:00:00,8.871592127144247,2.6182607848314183,14.468142594946634
2025-11-12 08:00:00,9.715171948994698,3.9701284233962584,15.16539267751022
2025-11-12 09:00:00,10.721394345969589,4.511705655692517,16.274669282773814
2025-11-12 10:00:00,11.712446028772112,6.2362671593298895,17.29353070449953
2025-11-12 11:00:00,12.538197061985121,7.339418193975323,18.354025308843845
2025-11-12 12:00:00,13.123607712348889,7.216788340254653,19.099955761272213
2025-11-12 13:00:00,13.46165109461297,7.757366928712298,19.102781126586166
2025-11-12 14:00:00,13.570128458087419,7.571666064415284,19.36449987346446
2025-11-12 15:00:00,13.456303866511536,7.948444805890814,19.075821783599594
2025-11-12 16:00:00,13.118652357716194,7.20883683356357,19.008505692120448
2025-11-12 17:00:00,12.57646971765293,6.436362100066632,18.424381971018786
2025-11-12 18:00:00,11.892349444357098,5.934285093025254,17.671945285849116
2025-11-12 19:00:00,11.161751035487164,5.55083121636882,16.942072149049835
2025-11-12 20:00:00,10.476149387186872,4.787565861412225,16.31510863304426
2025-11-12 21:00:00,9.889385907511747,4.025389616211493,15.2075193093649
2025-11-12 22:00:00,9.41052005914551,3.7850833986568255,14.501502065376002
2025-11-12 23:00:00,9.020614777049635,3.2991879672145696,14.598574667404089
2025-11-13 00:00:00,8.693080213299146,3.2014513244211105,14.306688740086713
2025-11-13 01:00:00,8.403521395120405,2.640837335010011,13.882424454539095
2025-11-13 02:00:00,8.134465726700626,2.7220986482782874,14.081899228062056
2025-11-13 03:00:00,7.888259598928461,1.9986646197180398,13.539842699399456
2025-11-13 04:00:00,7.707276348784962,1.9973783663156752,13.11534859203711
2025-11-13 05:00:00,7.680308195100269,2.075126648915262,13.28766463199798
2025-11-13 06:00:00,7.913577435083921,2.1056389493501304,13.406835145416377
2025-11-13 07:00:00,8.471470667802748,2.666246614801465,13.95929713420998
2025-11-13 08:00:00,9.323676665883472,3.885705891425176,15.118468014235185
2025-11-13 09:00:00,10.34005718148862,4.707580600568937,16.503147698974026
2025-11-13 10:00:00,11.342758424453418,5.659247992187207,17.389466361897142
2025-11-13 11:00:00,12.181585934180713,6.735811904991905,18.49667304189497
2025-11-13 12:00:00,12.781411741325941,7.2649175695043775,18.62542137598954
2025-11-13 13:00:00,13.135097664492477,7.325511898138447,18.72589431011834
2025-11-13 14:00:00,13.260311578811905,7.601322788966374,18.991676810404215
2025-11-13 15:00:00,13.164163399533493,7.2506987868155575,18.66379604929938
2025-11-13 16:00:00,12.844954852757667,7.245790390834236,18.484985684021066
2025-11-13 17:00:00,12.321791148922978,6.886309511573534,18.352537826164937
2025-11-13 18:00:00,11.657060112923379,6.016048911734213,17.26270684898171
2025-11-13 19:00:00,10.94600287756522,5.163231656775721,16.66501849118081
2025-11-13 20:00:00,10.279865899605056,4.329057101784088,15.865115890183194
2025-11-13 21:00:00,9.712254868825788,4.3094907593720375,15.414979383755288
2025-11-13 22:00:00,9.251989190172058,3.424935377110995,15.14476307947927
2025-11-13 23:00:00,8.879890447660623,3.130264360889356,15.178702248906637
2025-11-14 00:00:00,8.56912926372967,2.3323796486270445,14.675995679234799
2025-11-14 01:00:00,8.295076100185746,2.7448648163545597,13.645627282142957
